,price_date,beta,book_to_price_ratio,earning_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size
0,2016-01-05,0.0090483924,-0.0046049449,0.0035483785,-0.0011387141,0.0,-0.0001457687,-0.0054031761,0.0004307001,-0.0046261249,0.0023545029
1,2016-01-06,-0.0026317841,0.0018903376,-0.0020587114,-0.0011292755,0.0,0.0002629262,-0.0024888064,0.0007000068,0.0010663686,-0.0018934913
2,2016-01-07,0.0054889805,-0.0033162996,-4.85575e-05,0.0001133017,0.0,-0.0009232507,-0.0037129156,-0.002516152,-0.0007347902,-0.0007669204
3,2016-01-08,0.0050331442,0.001237743,0.0009929423,-0.0003005129,0.0,0.0003085627,-0.0024318591,-0.0001655318,-0.0004803866,0.0027233252
4,2016-01-11,0.009395936,-0.0031423604,-0.0005813764,0.000642933,0.0,-0.0009552889,-0.0017539229,-0.0017226067,-0.0008070718,0.0046242344
5,2016-01-12,-0.0007861435,0.0049444184,0.0051213638,-0.0009286883,0.0,-0.000101893,0.0002153783,-0.0022085148,0.0047070877,0.000230142
6,2016-01-13,0.0075708892,0.0013982114,0.0023620036,0.0002441877,0.0,-0.0007750553,-0.000369322,-0.0009130648,0.0003415843,0.0008597494
7,2016-01-14,-0.0065338485,-0.0001614258,0.0013991096,0.0007594784,0.0,0.0004586499,0.00104406,0.0002877799,0.002302155,-0.0019004629
8,2016-01-15,0.0014423525,-0.0032446106,0.0014154621,0.0017947412,0.0,-0.0003723481,0.0006552049,-0.0012314266,0.0006937555,0.0005905121
9,2016-01-18,-0.0067566337,0.0001209162,0.0002304922,-2.14446e-05,0.0,8.41684e-05,0.0025759673,-0.000529193,0.0007141052,-0.0036718335
10,2016-01-19,-0.0030280008,0.0012534712,-0.0002408118,0.0001860102,0.0,0.0002908441,0.0012817378,0.0001842226,0.0006049731,-0.0027472591
11,2016-01-20,-0.0023247927,0.00048591,0.0001292766,0.0010304582,0.0,-0.0006085714,-0.0007950616,-0.0016034925,0.0016003672,-0.0041822482
12,2016-01-21,0.0098978951,0.0007838714,0.0013582567,-0.0002608155,0.0,-0.000663395,6.17223e-05,-0.0014442055,0.0014367851,-0.0027305104
13,2016-01-22,-0.002034696,0.001119612,-0.0007836283,0.0008056995,0.0,0.0002347615,0.0006085875,0.0010879714,-0.0003468837,-0.0022109052
14,2016-01-25,0.000190428,7.86796e-05,-0.0008102082,0.001222249,0.0,-6.89528e-05,-0.0013293048,-0.0001637765,0.0006003029,-0.0038258226
15,2016-01-26,0.0030201045,-0.0024047101,-0.0003968366,0.0011056584,0.0,8.3936e-06,0.0002796546,-0.0012169669,-0.0022612487,0.0031564437
16,2016-01-27,0.0011896648,-0.0012056348,-0.0004993036,0.0008493261,0.0,0.0014393734,0.0012004982,0.0005216261,-0.0020729037,0.0026012451
17,2016-01-28,0.0100931567,-0.001396569,0.0013885164,0.0001217936,0.0,-0.0002506468,0.0019496714,-0.0019454207,-0.0003922325,0.0015212841
