,tradedate,CI005921.WI,CI005920.WI,CI005919.WI,CI005918.WI,CI005917.WI,000300.SH,000905.SH,000852.SH,881001.WI,CI005030.WI,CI005029.WI,CI005028.WI,CI005027.WI,CI005026.WI,CI005025.WI,CI005024.WI,CI005023.WI,CI005022.WI,CI005021.WI,CI005020.WI,CI005019.WI,CI005018.WI,CI005017.WI,CI005016.WI,CI005015.WI,CI005014.WI,CI005013.WI,CI005012.WI,CI005011.WI,CI005010.WI,CI005009.WI,CI005008.WI,CI005007.WI,CI005006.WI,CI005005.WI,CI005004.WI,CI005003.WI,CI005002.WI,CI005001.WI
0,2005-11-30,839.5704,788.593,881.4865,769.386,976.9964,873.825,829.5,839.24,654.5468,,717.218,857.5671,711.6038,806.0592,860.4876,855.0803,903.0985,794.4788,1084.5472,805.614,967.0453,849.2826,747.7236,814.2439,872.1246,911.6175,781.3169,1097.6109,874.7689,788.925,693.3406,828.1285,727.8755,857.1812,733.3187,809.8148,856.3293,630.2245,840.7028
1,2005-12-01,836.6595,787.0107,876.7135,769.0222,975.1772,873.067,828.193,835.386,653.5659,,715.0918,855.3938,707.9238,807.2258,857.4486,850.7816,899.6979,787.3762,1083.5772,804.9607,963.029,850.356,726.5594,815.6215,869.9504,908.1312,781.2169,1095.4353,873.7892,787.7755,690.4434,826.9281,727.2181,854.9983,734.8491,806.1943,858.408,628.7991,844.2183
2,2005-12-02,831.868,778.6558,871.2111,760.7879,968.6569,869.936,817.864,821.715,648.0214,,706.2047,854.774,698.8613,804.6094,854.5706,843.5841,887.1509,778.8633,1086.6115,801.2606,962.0747,839.6035,718.586,810.4375,861.9427,901.8648,771.9524,1082.0063,864.6127,775.1744,682.6781,811.9978,720.1157,843.371,723.493,802.6777,858.6706,627.4794,843.0771
3,2005-12-05,822.7962,757.7251,850.8795,745.7197,956.1338,859.61,796.926,794.322,634.8792,,688.1678,837.8625,680.3031,794.7357,844.1486,833.7914,874.0665,758.2526,1074.7414,789.7299,944.1891,811.5111,701.9306,787.8247,836.9721,880.5282,750.0388,1048.9704,841.9553,750.6294,667.6135,788.0665,698.5513,825.8324,719.1416,793.6176,837.5236,613.8016,834.3226
4,2005-12-06,828.6444,758.4214,853.6477,749.2616,968.5632,866.075,798.878,796.987,638.3258,,690.0371,836.8482,686.6529,802.6317,848.7976,838.7339,880.3881,775.6152,1094.7482,793.2668,947.3088,809.6498,705.1574,791.245,845.141,883.3352,752.1803,1042.8497,838.0086,756.4303,666.4777,792.9834,700.8993,824.5849,726.4307,796.7421,843.5546,623.0121,843.7942
5,2005-12-07,836.1961,765.6493,860.7722,755.5317,976.3587,873.838,806.778,805.528,644.637,,699.9929,843.4664,695.9066,807.6684,851.5075,847.5115,888.5815,785.0337,1102.8038,795.974,953.0408,815.5941,710.4339,803.6311,848.7067,890.3854,761.1609,1065.3492,851.9423,767.1865,672.5157,796.3575,706.5564,831.6197,728.3639,802.9008,851.2748,624.3288,855.6071
6,2005-12-08,836.6586,763.013,860.2663,754.2793,975.1374,874.056,805.561,802.541,644.1437,,694.8031,842.4711,691.862,805.1868,839.19,847.307,890.4753,789.5616,1096.7552,795.5829,954.203,812.3721,707.1122,802.0711,847.8357,890.116,758.5556,1064.6951,850.2674,769.3368,670.1847,798.8405,704.9251,832.7611,724.0263,803.0275,848.9362,628.1723,853.6782
7,2005-12-09,847.2676,776.1674,872.2757,764.6706,996.0819,887.358,819.2,816.955,655.5715,,705.9217,854.8061,702.5704,814.8701,853.9722,851.8097,907.6983,804.1473,1123.5154,803.4386,962.854,824.2074,719.5217,814.8786,860.2333,904.3154,768.852,1086.6929,867.3531,782.7029,680.9913,808.368,715.3558,847.0641,731.5458,815.1496,863.495,642.6167,863.726
8,2005-12-12,847.5825,777.3255,873.1099,767.9131,1000.7514,888.518,824.518,823.324,658.2586,,708.3158,837.5423,705.0015,814.8604,868.6397,852.3811,917.9045,804.6656,1120.8402,803.8344,957.2906,825.6605,721.2151,813.01,866.298,909.9695,772.0888,1084.3176,870.0745,786.4012,685.162,817.4341,720.2552,850.2141,729.7586,815.6864,875.0895,651.4752,863.1106
9,2005-12-13,845.4256,778.475,871.336,768.3923,1002.1418,889.101,824.861,822.533,658.7861,,708.4533,836.9711,710.2556,814.6918,874.5858,850.5184,918.8963,820.1082,1119.399,802.0947,953.9326,825.4534,722.5191,811.8582,865.3609,908.2456,774.2555,1083.4993,871.7908,792.0785,683.0182,817.8985,720.2015,849.1382,726.4682,815.2024,876.4963,650.8233,868.9268
10,2005-12-14,849.1036,788.2744,882.7928,773.0984,1019.0785,898.153,832.513,831.797,665.7996,,718.0374,845.3804,716.4192,817.0378,883.5664,855.6895,934.3477,828.5464,1140.255,808.4432,965.374,835.6391,731.4847,822.2482,872.22,923.7601,770.9566,1109.5547,876.3739,800.485,691.3427,826.0786,729.1412,857.1657,727.4418,820.2021,886.8563,656.0101,872.999
11,2005-12-15,849.5173,783.6007,881.3814,769.9115,1012.2984,896.434,827.539,824.607,662.5628,,713.7847,841.0779,706.3389,820.5479,878.6879,856.5422,928.1698,815.1972,1134.335,806.6611,966.9143,830.7847,726.3736,817.9441,868.9954,925.1284,773.2916,1106.2946,865.5059,790.744,689.2147,819.3834,724.7753,854.2065,728.4648,817.9349,878.9961,649.9774,873.5967
12,2005-12-16,854.0903,790.0347,888.1368,775.8145,1014.9857,902.561,834.537,831.961,668.11,,716.7566,846.4248,713.6918,824.5843,884.4167,860.8311,937.0801,821.3309,1128.3694,812.1734,975.4964,836.0516,732.3946,829.6909,878.4494,928.9587,783.463,1122.3038,869.5386,797.9347,695.6052,821.57,729.4349,859.5331,735.7171,821.365,888.7013,651.6863,875.2439
13,2005-12-19,852.4421,790.3263,888.1843,777.3587,1014.8593,902.91,834.712,834.02,668.4905,,718.4046,845.4714,712.9481,823.7753,882.9476,859.3311,938.868,821.7472,1125.5113,810.985,975.6727,836.4045,734.9988,831.0923,881.564,926.0962,783.9808,1127.6049,863.7048,798.0953,696.4805,822.7885,732.1633,859.011,739.1499,821.4,888.6366,652.5978,885.1357
14,2005-12-20,853.4576,794.3952,890.13,778.7141,1022.0765,907.318,836.119,835.007,670.9449,,719.9387,859.7931,714.484,836.0091,879.9093,855.3429,938.861,828.4602,1142.4475,811.3251,978.7762,835.7599,736.8342,837.5904,885.0773,926.201,782.5679,1124.944,865.8293,800.4748,698.0146,823.4859,733.839,863.2577,739.8656,822.6391,888.3869,659.7347,886.7018
15,2005-12-21,850.9853,786.7261,884.0264,772.1349,1016.9629,903.144,830.766,823.371,666.3037,,712.4613,852.7698,706.1424,832.6192,873.2329,859.2119,931.1675,820.7426,1141.9868,802.442,971.7973,831.6595,730.9631,827.5453,882.4068,920.3555,778.0049,1118.4392,857.18,793.1442,690.9268,818.0461,720.0295,860.7562,725.0577,815.2675,880.8354,660.3335,883.3211
16,2005-12-22,856.2583,790.3577,890.1442,775.2885,1021.6749,908.754,835.503,826.909,670.5316,,715.7043,851.5275,703.7824,833.2405,871.9706,864.4106,936.2269,817.3089,1146.5129,805.9649,980.9388,838.5731,732.8447,835.4749,879.3531,925.0637,781.6045,1129.2555,863.7158,802.4191,696.1448,831.7226,724.6691,865.2732,725.7182,821.6532,884.6157,660.9284,880.8333
17,2005-12-23,862.9082,797.5537,901.0981,783.0792,1027.5136,915.89,845.589,834.717,677.4932,,722.2436,856.0793,714.2512,841.8422,883.9162,869.7918,944.6179,836.82,1150.6497,816.033,995.7905,846.7198,740.6579,838.5265,887.0694,938.2271,788.8059,1137.5062,874.2087,811.8203,707.1809,834.0011,734.2293,880.228,728.9493,826.3312,891.2584,670.5801,888.0539
18,2005-12-26,864.117,804.1029,907.445,791.0641,1036.2814,922.378,853.169,841.206,683.3881,,729.8701,861.7491,721.3157,842.3841,883.6366,868.4668,952.4411,852.3906,1159.256,822.6921,1001.8831,850.0253,748.794,845.9673,887.4327,947.2715,795.6804,1146.6648,886.6025,820.2707,726.6999,844.4526,745.4379,887.374,735.9673,829.8044,897.8077,672.6362,902.3673
19,2005-12-27,855.7746,804.6036,906.6332,790.0629,1030.024,919.36,854.526,841.925,681.9439,,732.142,856.6744,722.5899,835.4783,886.1083,856.9043,949.7797,849.0223,1147.4452,826.6582,1001.8182,846.951,749.84,846.3153,888.1298,946.2525,794.3019,1149.7875,886.8399,819.4826,725.1795,840.9474,747.5588,883.9118,739.8513,828.5601,890.7441,668.2867,900.1953
20,2005-12-28,857.0181,807.158,907.4433,792.4198,1029.7956,920.919,857.206,844.074,683.3421,,733.8563,849.0114,723.7517,837.8335,888.4778,860.5813,952.6272,842.8411,1143.7637,826.5361,1004.8973,847.4184,749.1559,843.4233,889.9223,948.3136,792.938,1163.1374,887.3881,821.4558,724.2616,842.7734,746.7704,884.8252,748.3906,829.4194,896.6137,666.0251,902.2759
21,2005-12-29,868.7508,817.9633,917.5958,798.0709,1037.9063,932.031,866.747,852.386,690.9771,,735.7335,863.98,728.7573,850.6441,889.3912,871.6315,961.1998,844.708,1151.6912,832.9162,1020.8175,857.8421,751.742,855.1614,898.1795,957.429,797.7466,1178.1053,895.9002,828.5951,723.6356,856.0369,753.2783,896.5585,746.214,838.4941,904.6878,683.2246,917.1683
22,2005-12-30,853.6876,811.7772,908.5326,791.536,1030.2888,923.451,860.131,842.736,684.0646,,725.9092,858.6126,721.8649,841.5975,884.0995,854.451,952.1648,832.7971,1144.9404,828.5131,1005.3895,848.4426,746.4911,847.8221,891.9772,948.1081,791.3525,1165.6109,889.3247,823.7545,716.0707,845.1893,746.8907,889.6417,743.0293,822.9142,893.9138,674.8759,917.7706
23,2006-01-04,862.996,830.6643,914.5573,802.8861,1072.4982,941.428,871.73,852.531,694.4958,,740.1083,867.9787,730.1634,869.1387,907.4825,859.732,975.9256,843.693,1214.9094,822.531,1011.2616,854.3688,757.1709,857.8467,898.0779,952.3068,797.9702,1197.9915,910.8184,843.6114,726.429,853.0435,757.8013,900.1505,747.8462,833.3339,928.0702,683.5127,932.0285
24,2006-01-05,883.4977,843.4618,926.8325,814.5904,1090.061,959.134,882.732,865.698,705.1748,,750.0433,895.0752,735.9174,878.9115,917.8242,890.0669,993.8827,859.9989,1236.3878,825.1635,1025.9719,864.6756,768.2533,877.6991,915.3195,957.9284,814.0123,1217.4124,916.9956,861.2228,738.5292,863.0173,764.2863,911.9201,760.4903,845.979,946.651,685.7409,936.7307
25,2006-01-06,892.9783,852.2786,936.2701,822.8949,1093.8619,970.032,891.94,872.818,711.6898,,755.029,897.107,763.2245,882.9125,922.9112,903.2052,988.7759,871.4067,1252.4235,828.9481,1037.7307,873.1519,776.1322,887.6462,933.0723,966.2122,819.7031,1234.1197,923.5514,868.0877,745.8593,866.3799,767.7443,930.401,764.1778,856.8177,953.0762,698.4254,939.6604
26,2006-01-09,896.9924,864.274,946.2007,830.8195,1091.2068,975.253,905.068,886.656,717.6626,,766.0072,904.1344,783.8,885.9709,929.4194,905.9376,987.9681,909.0541,1242.2476,839.8998,1051.864,881.7829,784.8981,896.5502,953.3663,976.4251,825.7239,1258.5362,934.9025,879.8429,754.2485,882.29,782.7765,938.1291,765.7493,861.6927,975.9442,715.2798,942.0677
27,2006-01-10,893.2879,866.5653,945.932,834.7226,1101.1173,978.154,911.191,889.152,720.722,,765.6992,897.8009,784.6958,883.5466,955.3005,902.0812,993.6549,913.2791,1256.5097,841.949,1049.3559,880.9425,783.936,889.5825,952.7121,979.3994,831.5542,1267.737,942.5306,879.6959,759.5638,887.1158,787.8478,944.3247,764.8683,859.3409,996.4936,714.4695,949.0973
28,2006-01-11,885.5627,864.4646,939.7342,831.5003,1093.5681,973.477,906.496,880.909,716.4716,,758.0287,927.8384,775.8133,869.02,948.3558,895.3593,989.0912,906.7629,1244.8,830.1904,1041.5573,871.9716,776.9892,886.1349,943.4353,980.2781,825.6139,1252.7528,937.0214,872.4613,760.3387,884.5478,771.3697,943.9546,768.5846,852.8567,1015.181,703.0371,931.6433
29,2006-01-12,892.9033,883.8314,954.5635,843.9758,1099.1461,983.716,927.42,899.809,726.4276,,774.1103,933.3866,794.4069,876.5474,955.6787,902.7517,993.6495,919.3874,1249.3302,848.4145,1052.9377,889.2178,792.9034,906.9029,959.9698,996.6411,838.752,1289.3475,959.1583,891.2981,772.2835,899.7447,786.3829,960.978,774.345,861.1076,1024.7762,710.8849,943.6995
30,2006-01-13,888.5951,884.5369,956.1426,842.3794,1087.78,978.809,932.499,904.611,724.431,,771.5502,931.2723,790.5495,873.3975,970.7009,897.9399,980.9105,952.8766,1232.5174,854.869,1058.6317,891.1458,790.1751,905.9663,967.9427,998.4754,841.0264,1277.0519,961.0915,895.0864,771.2489,900.4656,785.2,962.8151,768.9276,856.0059,1030.019,698.7593,936.4929
31,2006-01-16,872.5977,868.8093,942.1526,830.996,1064.6576,961.439,920.332,892.798,711.7141,,760.0701,898.9743,778.9084,855.1671,945.344,885.6733,962.702,922.5975,1205.2824,841.5611,1039.3639,879.7003,777.6356,892.9979,953.8174,988.5276,829.8241,1263.76,935.0104,880.5348,760.7538,883.3548,767.3487,948.2317,757.1634,839.4838,1034.9572,685.5639,931.1599
32,2006-01-17,870.7489,867.1922,942.429,832.4698,1074.458,964.29,919.279,891.538,712.8011,,766.0312,891.0911,780.1157,851.9373,944.2993,883.0293,971.4082,932.1999,1215.0563,842.9472,1040.9842,876.7994,779.4831,897.1161,954.9865,987.8192,836.4062,1260.7951,932.651,880.0734,769.1871,884.0342,774.0366,946.7449,759.9531,837.9168,1025.9268,677.4393,947.0039
33,2006-01-18,884.1999,885.1049,957.8385,850.479,1098.5267,983.622,939.136,908.856,728.1703,,777.3059,899.9563,798.3468,867.825,975.9808,895.5964,990.9547,964.6398,1247.2775,856.0341,1056.0561,890.2633,798.4207,915.3586,964.4405,1002.2926,852.9487,1278.7469,950.1167,906.0507,787.537,900.6901,789.4715,967.212,769.2433,851.6419,1055.5889,692.0866,968.2173
34,2006-01-19,885.1932,891.6284,963.2001,861.1174,1106.999,991.222,949.913,914.31,735.1811,,783.1348,902.4711,805.8333,881.2839,994.7998,895.8796,998.808,988.982,1253.966,863.7568,1056.2291,893.9404,796.5277,917.8978,978.3845,1010.5732,857.4475,1285.4175,970.6305,915.342,794.3819,908.8133,799.0821,977.938,787.5367,849.02,1074.6916,693.3841,993.7967
35,2006-01-20,888.024,894.229,962.5147,865.0343,1103.6439,993.34,952.769,908.661,736.0347,,779.0924,914.2744,810.3991,876.5459,987.2301,890.5178,994.0288,1001.9304,1249.8645,861.4818,1064.8659,890.8717,799.5224,913.2912,975.599,1006.0496,851.3609,1296.778,983.5858,918.002,800.5842,905.1478,801.4255,984.6536,786.1994,855.9251,1118.9601,705.6116,994.6562
